Year,Date,Time,Location, Crash Type ,Crash Type #,Number of IMT Teams,Number of UHP Teams,RT,Response Time IMT,Response Time UHP,RCT for IMT,RCT for  UHP,ICT for IMT,ICT for  UHP,Lanes at Bottleneck,Number of Lanes Closed,,Affected Volume,Total Excess Travel Time,Total Teams,% Trucks, Individual Hourly Cost , Truck Hourly Cost ,AVO,Cost ($),Time Range,Time Range #,Excess Travel Time Per Vehicle (hours) ,T0,T1,T7,T1-T0,T7-T5,T7-T0,T5-T0,T7-T0 mod,
2018,3/7/2018,8:56:41,277562 I15 NB                                               ,PI Crash,2,2,4,13.1832,0.009155,0.001991,0.027998,0.027998,0.047407,0.150845,6,2,0.333,6184,483.09,6,6.88%,$17.81 ,$53.69 ,1.11,"$10,677.67 ",AM Peak,2,0.0781,8:55,8:56,10:00,0:01,0:23,1:05,0:42,65,
2018,3/7/2018,9:14:42,281930 I15 NB; MM 282 I15 NB                                ,PI Crash,2,1,3,12.71664,0.008831,0.004988,0.011319,0.011319,0.021632,0.057269,5,1,0.2,4092,52.16,4,10.06%,$17.81 ,$53.69 ,1.34,"$1,401.27 ",Afternoon Off Peak,3,0.0127,9:15,9:14,10:10,###############################################################################################################################################################################################################################################################,0:39,0:55,0:16,55,
2018,3/7/2018,17:25:07,1400 W I215S WB                                             ,PI Crash,2,2,7,12.8664,0.008935,0.003808,0.043669,0.043669,0.046725,0.054387,5,4,0.8,6982,530.04,9,9.70%,$17.81 ,$53.69 ,1.27,"$13,586.31 ",PM Peak,4,0.0759,5:20,17:25,6:45,12:05,###############################################################################################################################################################################################################################################################,1:25,13:08,85,
2018,3/8/2018,16:27:17,900 S I15 SB                                                ,PD Crash,3,1,3,26.66736,0.018519,0.007095,0.01647,0.01647,0.038229,0.038056,5,2,0.4,6035,175.65,4,7.96%,$17.81 ,$53.69 ,1.22,"$4,263.23 ",PM Peak,4,0.0291,16:25,16:27,17:30,0:02,0:39,1:05,0:26,65,
2018,3/9/2018,9:51:34,9488 S I15 NB                                               ,PD Crash,3,1,2,13.8168,0.009595,0.00713,0.033634,0.033634,0.047616,0.049769,5,2,0.4,8575,289.7,3,10.06%,$17.81 ,$53.69 ,1.34,"$7,782.76 ",Afternoon Off Peak,3,0.0338,9:50,9:51,11:05,0:01,0:25,1:15,0:50,75,
2018,3/9/2018,16:13:23,1700 S I15 SB                                               ,PD Crash,3,1,3,11.95056,0.008299,0,0.013623,0.013623,0.0114,0.049618,5,2,0.4,7560,327.88,4,7.96%,$17.81 ,$53.69 ,1.22,"$7,958.03 ",PM Peak,4,0.0434,16:05,16:13,17:30,0:08,0:57,1:25,0:28,85,
2018,3/13/2018,11:13:41,6400 S I15 NB                                               ,PD Crash,3,2,4,11.09952,0.007708,0,0.046053,0.046053,0.066713,0.210278,5,2,0.4,8798,386.7,6,10.06%,$17.81 ,$53.69 ,1.34,"$10,388.66 ",Afternoon Off Peak,3,0.044,11:10,11:13,12:25,0:03,0:05,1:15,1:10,75,
2018,3/13/2018,14:32:03,3300 S I15 SB                                               ,PD Crash,3,1,2,14.9832,0.010405,0.008912,0.010382,0.010382,0.022373,0.056806,4,1,0.25,4889,155.73,3,10.06%,$17.81 ,$53.69 ,1.36,"$4,233.56 ",Afternoon Off Peak,3,0.0319,14:30,14:32,15:10,0:02,0:23,0:40,0:17,40,
2018,3/13/2018,17:28:56,271005 I15 SB                                               ,PI Crash,2,1,3,25.7832,0.017905,0.003414,0.006991,0.006991,0.024097,0.037106,6,2,0.333,6359,327.45,4,7.96%,$17.81 ,$53.69 ,1.22,"$7,947.59 ",PM Peak,4,0.0515,17:25,17:28,18:10,0:03,0:31,0:45,0:14,45,
2018,3/13/2018,14:47:49,281917 I15 SB; MM 282 I15 SB                                ,PI Crash,2,2,4,18.98352,0.013183,0.00213,0.040405,0.040405,0.041007,0.071412,5,2,0.4,27602,3228.09,6,10.06%,$17.81 ,$53.69 ,1.36,"$87,756.53 ",Afternoon Off Peak,3,0.117,14:45,14:47,19:00,0:02,3:14,4:15,1:01,255,
